,institution.displayName,ranking.sortRank,ranking.isTied,Visit School Website,Serif,Sans-Serif,Not Avaliable
0,Princeton University,1,False,http://www.princeton.edu,6554,73131,0
1,Massachusetts Institute of Technology,2,False,http://web.mit.edu/,2802,27482,0
2,Harvard University,3,True,http://www.harvard.edu/,3651,0,37947
3,Stanford University,3,True,http://www.stanford.edu,5542,41438,0
4,Yale University,5,False,http://www.yale.edu/,1841,52133,47
5,University of Pennsylvania,6,False,http://www.upenn.edu,5005,30687,0
6,California Institute of Technology,7,True,http://www.caltech.edu,0,48163,0
7,Duke University,7,True,http://www.duke.edu/,2622,16377,0
8,Brown University,9,True,https://www.brown.edu,36488,929,0
9,Johns Hopkins University,9,True,http://www.jhu.edu,2827,24230,0
10,Northwestern University,9,True,http://www.northwestern.edu,4690,13885,0
11,Columbia University,12,True,http://www.columbia.edu,0,62236,0
12,Cornell University,12,True,http://www.cornell.edu,619,12132,0
13,University of Chicago,12,True,http://www.uchicago.edu,90,7356,0
14,"University of California, Berkeley",15,True,https://www.berkeley.edu,1289,8979,0
15,"University of California, Los Angeles",15,True,http://www.ucla.edu/,6601,64020,0
16,Rice University,17,False,http://www.rice.edu,31889,2433,97
17,Dartmouth College,18,True,http://www.dartmouth.edu,1143,21333,0
18,Vanderbilt University,18,True,http://www.vanderbilt.edu,7079,43018,68
19,University of Notre Dame,20,False,http://www.nd.edu,4313,21854,0
20,University of Michigan--Ann Arbor,21,False,//umich.edu,3546,28158,52
21,Georgetown University,22,True,http://www.georgetown.edu,13156,100446,63
22,University of North Carolina at Chapel Hill,22,True,http://www.unc.edu,20,804,11
23,Carnegie Mellon University,24,True,http://www.cmu.edu,16,11477,0
24,Emory University,24,True,http://www.emory.edu,301,4430,0
25,University of Virginia,24,True,http://www.virginia.edu,15,15220,0
26,Washington University in St. Louis,24,True,https://www.wustl.edu,4923,32275,0
27,"University of California, Davis",28,True,http://www.ucdavis.edu,0,61665,0
28,"University of California, San Diego",28,True,http://www.ucsd.edu/,0,41653,0
29,University of Florida,28,True,//www.ufl.edu,0,18182,2369
30,University of Southern California,28,True,http://www.usc.edu/,81761,3479,33
31,University of Texas at Austin,32,False,http://www.utexas.edu,0,42744,39
32,Georgia Institute of Technology,33,True,http://admission.gatech.edu,0,19371,0
33,"University of California, Irvine",33,True,http://www.uci.edu,0,56301,0
34,New York University,35,True,http://www.nyu.edu,1378,9863,557
35,"University of California, Santa Barbara",35,True,https://www.ucsb.edu/,73,47053,0
36,University of Illinois Urbana-Champaign,35,True,http://illinois.edu,1128,19266,0
37,University of Wisconsin--Madison,35,True,http://www.wisc.edu,263,1541,0
38,Boston College,39,False,http://www.bc.edu,145,38239,46
39,Rutgers University--New Brunswick,40,True,https://newbrunswick.rutgers.edu,3908,49715,33
40,Tufts University,40,True,http://www.tufts.edu,278,39950,0
41,University of Washington,40,True,http://www.washington.edu,0,5360,0
42,Boston University,43,True,http://www.bu.edu,1599,4209,5925
43,The Ohio State University,43,True,http://www.osu.edu,883,40481,0
44,Purdue University--Main Campus,43,True,http://www.purdue.edu,2452,22000,0
45,"University of Maryland, College Park",46,False,https://www.umd.edu/,196,55641,0
46,Lehigh University,47,True,https://www1.lehigh.edu,941,95366,219
47,Texas A&M University,47,True,http://www.tamu.edu,0,56768,0
48,University of Georgia,47,True,http://www.uga.edu,4370,722,0
49,University of Rochester,47,True,https://www.rochester.edu,3197,22517,0
50,Virginia Tech,47,True,//www.vt.edu,59,38254,0
51,Wake Forest University,47,True,http://www.wfu.edu,4117,29405,0
52,Case Western Reserve University,53,True,http://www.case.edu,0,12,4681
53,Florida State University,53,True,http://www.fsu.edu,0,47424,0
54,Northeastern University,53,True,http://www.northeastern.edu/,1294,7331,51
55,"University of Minnesota, Twin Cities",53,True,https://twin-cities.umn.edu/,3326,35683,0
56,William & Mary,53,True,http://www.wm.edu,49,11095,0
57,Stony Brook University--SUNY,58,True,http://www.stonybrook.edu,775,17152,0
58,University of Connecticut,58,True,http://www.uconn.edu,1528,18413,0
